,хорошо,согласен,сделаю,надену,одену,будет сделано,да,"да, хорошо",нет,не буду,не хочу,не согласен,не стоит,не надо,отстань,отвали,заколебала,достала,иди на хен,пошла на хер,пошла в жопу,кто это,а вы кто,повторите,не слышу,не слышно,громче,еще раз
иди на хен,0.33771502640171147,0.22785165090396034,0.2806079224378366,0.08185192222551055,0.04586711111404601,0.2443005163989728,0.41540989757957036,0.42192387356535793,0.35278960464846326,0.39317349987730443,0.4080572831117396,0.3169917628607591,0.3217486322030915,0.36877465885157507,0.3193993004222288,0.26222539188712474,0.0,0.1593600624648531,1.0,0.6467479618639376,0.42563675359171776,0.28571813479411007,0.29262751335178716,-0.003872505105611081,0.33833928706841027,0.3405664034021209,0.18508138463333443,0.29821898330349167
пошла на хер,0.34889659509550286,0.20667900180673734,0.2529660074505821,0.10482367067726701,-0.013139150655327269,0.28062328343247467,0.48998157199378717,0.4677322543897604,0.40141046747565046,0.4221501006147426,0.4432926615624854,0.33827610307895106,0.41400135225173224,0.461311186529237,0.23910545200937183,0.19822027529876013,0.0,0.29792423306798277,0.6467479618639376,1.0,0.6917591803631428,0.3887214015353966,0.42996871748463283,0.04160161075149796,0.3802138259328189,0.3797769715630008,0.21935538134261823,0.43112601983777976
пошла в жопу,0.36112801217050733,0.22986685015160987,0.27615484662642126,0.13519452722478098,0.020207487832195288,0.297333453771788,0.4231719705731619,0.4401615876449636,0.3766200736237407,0.444877333426616,0.44446179621474546,0.3494023857199114,0.3723437823855974,0.45773002549908154,0.17944100245550315,0.12302898748694607,0.0,0.301790857937494,0.42563675359171776,0.6917591803631428,1.0,0.3752591772183836,0.41285703799600665,0.04166805661709802,0.377489331396644,0.369351537214047,0.19194997449586057,0.45168594371342
кто это,0.5067155654704899,0.43360678657513196,0.34365537125816065,0.06052598546601475,-0.1182130095253329,0.514452191730052,0.6987830523074684,0.672585512304391,0.6984586418239608,0.6032597129906344,0.6583108237881447,0.6371227744200122,0.6524925552558847,0.6846694513913267,0.07190512121955898,0.032346088934532814,0.0,0.13727554766641345,0.28571813479411007,0.3887214015353966,0.3752591772183836,1.0,0.8557247563615419,0.07497898405707215,0.5973227114771168,0.5613220419083288,0.29273754982054384,0.6176570485552487
а вы кто,0.5295939158734709,0.4480875406259936,0.37050747235706644,0.04026441534763911,-0.12977711904041622,0.4571035921960432,0.7435570647383345,0.7098757623270098,0.7196222255919027,0.6375759727039724,0.7031052259879361,0.644214754441551,0.6272089286262084,0.695755542737485,0.06785796187133461,0.0039121862116890645,0.0,0.16931199049420764,0.29262751335178716,0.42996871748463283,0.41285703799600665,0.8557247563615419,1.0,0.15477311508583966,0.5994463353621696,0.5492408015709935,0.23958821443253325,0.6166859433215522
повторите,0.15430260614632096,0.06224294087481537,0.1588508510866088,0.06548192245681836,-0.025577510881297325,0.056994845714825625,0.07052097511313722,0.1303331089061249,0.05033680316198802,0.06875392663014718,0.05973758143378156,0.045468718233394836,0.017427481577826306,0.06240946746089608,0.054747268020022,0.10399800837415507,0.0,0.03191364901243647,-0.003872505105611081,0.04160161075149796,0.04166805661709802,0.07497898405707215,0.15477311508583966,1.0,0.14121271575645986,0.08232885540890622,0.1828527544234459,0.1753691533727517
не слышу,0.4998580558752734,0.3837521530734634,0.3890059952715031,0.1685303244389022,0.020560125640436754,0.35836051059246643,0.6056845659104867,0.6196959296642325,0.701104975445003,0.6941687829282561,0.7553212754516502,0.683406318600258,0.6962687041517442,0.706578053636806,0.23974733145154753,0.09986569822231768,0.0,0.14652323911481493,0.33833928706841027,0.3802138259328189,0.377489331396644,0.5973227114771168,0.5994463353621696,0.14121271575645986,1.0,0.8298703747203959,0.39934087097315485,0.529789589818283
не слышно,0.4837033914295569,0.33022290512413643,0.3359266584098309,0.08988538755910778,-0.05695216183560727,0.4177805858608786,0.5954784462713104,0.604572844618838,0.6662041369210511,0.6422765116716749,0.7141997536151004,0.6643767007104772,0.6828480378636902,0.7064712951757512,0.1808201393425241,0.04885546414786292,0.0,0.18794025903422412,0.3405664034021209,0.3797769715630008,0.369351537214047,0.5613220419083288,0.5492408015709935,0.08232885540890622,0.8298703747203959,1.0,0.4411348413123599,0.5651739625502773
громче,0.17815119792259823,0.12462344869016961,0.18569642468576494,0.04768135700457883,0.0037896404241786323,0.1340509807643858,0.24433039372081533,0.23576210807747428,0.2308252131746274,0.16552001922113066,0.2041175649018651,0.16113149442262564,0.13353796958258357,0.18496803092086797,0.14560348497980527,0.13810767363037224,0.0,0.07826600693070704,0.18508138463333443,0.21935538134261823,0.19194997449586057,0.29273754982054384,0.23958821443253325,0.1828527544234459,0.39934087097315485,0.4411348413123599,1.0,0.36117930679306043
еще раз,0.5361677842478308,0.34958553100979295,0.36492865090314575,0.10339655338074377,-0.07062759928754571,0.4672451435890369,0.6072340166897482,0.6424889357404001,0.5952169490683874,0.5842617544730531,0.6324327938060252,0.5656835934001228,0.5951023953805699,0.6845389135375827,0.014936168954335886,-0.058324128085580254,0.0,0.19944950219876123,0.29821898330349167,0.43112601983777976,0.45168594371342,0.6176570485552487,0.6166859433215522,0.1753691533727517,0.529789589818283,0.5651739625502773,0.36117930679306043,1.0
